Disease,Severity,Weight,Age,Breed,Temperature,Previous_Disease,Treatment,Feed_Adjustment_Percent
Pediculosis,1,386.7,83,AFS,39.5,None,Antiparasitic + Monitoring,-9.4
FMD,1,416.7,35,AFS,39.5,None,Antibiotics + Isolation,-14.1
Mastitis,0,386.4,32,AFS,38.8,None,Anti-inflammatory + Rest,-8.0
Contagious,0,472.4,53,AFS,38.5,Ringworm,Antibiotics + Isolation,-9.1
Mastitis,1,389.9,66,AFS,39.8,None,Anti-inflammatory + Rest,-10.6
Pediculosis,0,363.0,15,AFS,39.0,None,Antiparasitic + Monitoring,-4.5
Dermatophilosis,0,486.8,71,AFS,38.6,None,Topical Treatment + Monitoring,-6.9
Mastitis,0,386.4,15,AFS,38.7,None,Anti-inflammatory + Rest,-5.8
Mastitis,0,518.5,55,AFS,39.0,Mastitis,Anti-inflammatory + Rest,-5.6
Ringworm,0,464.1,73,AFS,38.7,None,Topical Treatment + Monitoring,-3.9
Lumpy Skin,1,543.1,71,AFS,39.4,None,Antibiotics + Isolation,-13.8
Contagious,0,434.7,12,AFS,38.6,None,Antibiotics + Isolation,-6.7
Contagious,1,508.0,16,AFS,39.7,Contagious,Antibiotics + Isolation,-12.3
Contagious,1,416.2,59,AFS,39.3,Contagious,Antibiotics + Isolation,-13.3
Healthy,0,477.5,46,AFS,38.5,None,No Treatment Required,0.0
Mastitis,2,494.3,25,AFS,40.6,None,Antibiotics + Isolation,-20.3
Dermatophilosis,1,390.3,63,AFS,39.5,Contagious,Antibiotics + Isolation,-13.4
Pediculosis,1,501.1,47,AFS,39.8,None,Antiparasitic + Monitoring,-7.2
Healthy,0,535.9,56,AFS,38.4,None,No Treatment Required,0.0
Healthy,0,510.7,55,AFS,38.5,Mastitis,No Treatment Required,0.0
Ringworm,2,529.2,73,AFS,40.0,None,Antifungal + Topical Care,-10.3
Healthy,0,420.5,14,AFS,38.3,None,No Treatment Required,0.0
Contagious,1,488.5,55,AFS,39.2,None,Antibiotics + Isolation,-15.1
Ringworm,1,422.7,69,AFS,39.8,None,Topical Treatment + Monitoring,-8.0
Contagious,0,549.5,70,AFS,38.8,None,Antibiotics + Isolation,-9.8
Lumpy Skin,0,476.9,13,AFS,38.8,None,Topical Treatment + Monitoring,-4.8
Pediculosis,1,502.3,28,AFS,39.6,None,Antiparasitic + Monitoring,-7.5
Mastitis,0,513.3,27,AFS,38.9,None,Anti-inflammatory + Rest,-7.3
Lumpy Skin,2,415.2,47,AFS,39.8,None,Antiviral + Quarantine,-24.1
Ringworm,0,538.1,51,AFS,38.7,Pediculosis,Topical Treatment + Monitoring,-4.4
Healthy,0,497.0,61,AFS,38.8,Mastitis,No Treatment Required,0.0
FMD,0,385.0,71,AFS,38.6,Ringworm,Supportive Care Only,-3.1
Lumpy Skin,2,476.6,20,AFS,40.3,Dermatophilosis,Antiviral + Quarantine,-21.6
Healthy,0,527.4,44,AFS,38.6,None,No Treatment Required,0.0
Ringworm,1,483.8,36,AFS,39.0,None,Topical Treatment + Monitoring,-7.8
Mastitis,1,548.9,44,AFS,39.0,None,Anti-inflammatory + Rest,-13.3
Ringworm,1,519.8,28,AFS,39.2,None,Topical Treatment + Monitoring,-8.0
Mastitis,0,398.8,49,AFS,39.0,None,Anti-inflammatory + Rest,-4.4
FMD,1,450.5,39,AFS,39.5,Mastitis,Antibiotics + Isolation,-16.1
Ringworm,0,354.9,60,AFS,38.5,Ringworm,Topical Treatment + Monitoring,-3.1
Mastitis,2,424.0,48,AFS,41.4,None,Antibiotics + Isolation,-18.1
FMD,2,365.1,43,AFS,41.2,None,Antiviral + Quarantine,-26.3
Contagious,0,518.8,78,AFS,38.8,None,Antibiotics + Isolation,-7.5
Mastitis,0,400.8,13,AFS,38.7,Lumpy Skin,Anti-inflammatory + Rest,-7.5
Mastitis,0,408.7,37,AFS,38.9,Mastitis,Anti-inflammatory + Rest,-4.3
