Eating_Time,Lying_Time,Standing_Time,Walking_Time,Label
27,969,60,5,Sick
1,798,183,7,Sick
44,885,159,7,Sick
56,906,141,6,Sick
196,517,358,35,Healthy
145,597,315,40,Healthy
32,925,44,7,Sick
214,306,347,24,Healthy
171,364,291,31,Healthy
123,447,180,30,Healthy
0,885,102,4,Sick
18,947,0,10,Sick
250,429,101,24,Healthy
299,380,284,28,Healthy
186,503,175,36,Healthy
151,567,243,29,Healthy
197,552,330,22,Healthy
57,746,130,8,Sick
48,725,49,6,Sick
9,746,111,2,Sick
48,881,114,5,Sick
216,320,160,53,Healthy
21,910,86,0,Sick
43,883,184,7,Sick
51,815,36,8,Sick
47,731,196,5,Sick
34,949,195,6,Sick
244,424,292,47,Healthy
11,971,163,2,Sick
21,745,94,10,Sick
2,989,83,1,Sick
223,394,302,23,Healthy
46,749,59,5,Sick
16,836,159,10,Sick
13,836,152,8,Sick
296,586,115,57,Healthy
257,343,182,59,Healthy
59,974,15,2,Sick
22,714,54,0,Sick
25,782,174,8,Sick
47,747,32,6,Sick
281,589,133,60,Healthy
186,550,195,48,Healthy
144,373,318,54,Healthy
53,836,61,0,Sick
183,375,367,45,Healthy
266,413,137,50,Healthy
25,929,32,5,Sick
258,569,111,21,Healthy
29,809,158,4,Sick
54,781,13,6,Sick
3,758,33,5,Sick
21,802,69,2,Sick
191,466,175,59,Healthy
136,552,353,46,Healthy
47,970,39,8,Sick
148,456,228,58,Healthy
38,940,49,4,Sick
281,374,239,56,Healthy
23,983,197,2,Sick
33,986,145,1,Sick
8,786,47,2,Sick
58,908,172,9,Sick
20,926,114,7,Sick
280,385,174,35,Healthy
189,315,300,22,Healthy
160,536,251,46,Healthy
243,356,146,33,Healthy
29,949,91,2,Sick
26,877,1,5,Sick
24,743,130,7,Sick
20,779,103,8,Sick
59,905,106,8,Sick
295,367,313,41,Healthy
153,534,299,48,Healthy
258,324,119,25,Healthy
12,943,35,8,Sick
171,591,310,52,Healthy
135,372,209,37,Healthy
223,333,286,43,Healthy
4,779,23,0,Sick
255,456,144,28,Healthy
23,921,149,6,Sick
31,728,161,8,Sick
265,365,284,41,Healthy
299,438,288,56,Healthy
21,715,178,8,Sick
191,314,374,30,Healthy
260,394,228,42,Healthy
132,304,349,59,Healthy
48,860,193,7,Sick
10,935,88,2,Sick
285,362,214,57,Healthy
183,432,120,55,Healthy
8,784,73,1,Sick
32,936,76,8,Sick
31,980,128,7,Sick
19,857,126,6,Sick
5,960,117,3,Sick
206,600,206,53,Healthy
231,405,156,47,Healthy
286,308,353,59,Healthy
187,555,371,43,Healthy
139,600,251,33,Healthy
28,708,96,3,Sick
170,481,383,33,Healthy
2,768,59,0,Sick
167,385,171,49,Healthy
199,424,303,54,Healthy
24,913,178,9,Sick
121,459,303,59,Healthy
234,506,352,35,Healthy
47,822,105,1,Sick
