Incubation_Start_Date,Incubation_End_Date,Temperature,Humidity,Egg_Weight,Egg_Turning_Frequency,Hatched
02/07/2024,03/01/2024,37.333174,46.306314,76.294851,3,0
11/05/2024,11/24/2024,37.560219,55.175502,52.08216,5,0
10/18/2023,11/07/2023,37.51348,53.831357,57.059735,3,1
04/16/2024,05/08/2024,37.505345,54.603682,59.535962,4,1
09/27/2024,10/16/2024,37.527797,53.573152,54.274306,5,1
10/06/2024,10/26/2024,37.818472,52.941517,47.999749,4,1
03/31/2024,04/19/2024,37.505931,52.417523,58.617801,3,0
09/21/2024,10/10/2024,37.955304,52.978721,61.931632,3,0
06/27/2024,07/18/2024,37.388917,56.584867,53.428883,5,1
05/02/2023,05/23/2023,37.684892,52.802335,60.702079,4,0
04/07/2024,04/27/2024,37.464252,59.9545,56.56655,3,0
03/22/2024,04/12/2024,37.815405,59.372523,66.035066,4,0
03/17/2024,04/08/2024,37.698941,50.388722,59.140116,6,1
04/25/2024,05/18/2024,37.391472,50.134495,66.811517,3,0
12/02/2023,12/22/2023,37.443786,52.484644,53.059895,3,0
02/04/2023,02/26/2023,37.671931,56.960845,54.404045,4,0
11/28/2024,12/21/2024,37.192638,51.690677,60.295916,3,0
11/22/2023,12/15/2023,38.047183,54.664655,53.304344,3,0
10/29/2023,11/19/2023,37.751031,59.917579,57.595469,3,0
09/06/2024,09/26/2024,37.631615,52.050469,42.180492,5,0
11/22/2024,12/12/2024,37.944477,51.469866,53.99578,4,0
08/30/2023,09/21/2023,37.484482,56.40246,53.474489,4,0
01/17/2024,02/06/2024,37.434364,48.430456,62.487933,3,0
06/04/2024,06/24/2024,37.493392,54.018873,58.805109,6,1
03/23/2023,04/12/2023,37.870778,54.223854,57.627671,6,1
11/22/2023,12/13/2023,37.755299,51.076631,48.897928,3,0
03/13/2024,04/01/2024,37.045894,55.692251,55.746917,6,0
12/24/2023,01/14/2024,37.605695,56.386015,52.56489,6,1
07/28/2024,08/19/2024,37.575248,55.118828,50.498581,3,1
02/02/2023,02/21/2023,38.346406,53.296862,69.081335,5,0
04/02/2024,04/24/2024,37.188649,58.538964,66.754968,4,0
02/13/2024,03/07/2024,37.19617,53.215834,63.619295,4,0
04/23/2024,05/16/2024,37.360446,52.40089,63.129967,3,0
06/13/2024,07/05/2024,37.316906,48.570435,71.770581,4,0
06/14/2024,07/03/2024,37.685517,57.776418,58.933693,3,1
08/04/2024,08/24/2024,37.129499,57.794941,62.21726,6,0
08/09/2024,08/28/2024,37.555547,55.246972,59.698677,6,1
08/28/2024,09/20/2024,38.175767,53.697201,56.587134,4,0
03/15/2023,04/05/2023,37.93261,50.999811,60.58937,4,0
06/22/2023,07/15/2023,37.498656,51.212079,47.517099,5,0
03/17/2024,04/06/2024,37.72,56.052999,60.54492,4,1
12/29/2023,01/18/2024,37.423716,54.302677,55.330999,5,0
12/07/2024,12/26/2024,37.966791,53.948751,49.813209,5,0
10/16/2023,11/06/2023,37.57615,51.030467,64.816159,4,0
09/05/2023,09/28/2023,37.373551,55.02843,53.460812,6,1
03/01/2024,03/21/2024,37.436066,49.069198,56.404283,5,0
01/28/2024,02/17/2024,37.740053,61.820361,53.016805,6,1
10/14/2023,11/03/2023,37.441966,52.404691,70.180072,4,0
08/01/2024,08/22/2024,37.971694,54.575258,66.7453,5,1
01/16/2024,02/08/2024,37.637898,59.21236,56.873842,4,1
10/17/2024,11/08/2024,38.580006,51.131281,61.735584,3,0
