Age_Months,Weight_kg,Breed,Milk_Yield_L_per_day,Health_Status,Disease,Body_Condition_Score,Location,Dry_Matter_Intake_kg_per_day,Energy_MJ_per_day,Crude_Protein_g_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Recommended_Feed_Type
99,307,Friesian,14.5,Mild,Mastitis,2.9,Kurunegala,9.12,98.4,910.0,53.4,36.9,Grass
93,466,Friesian,15.2,Healthy,None,3.8,Badulla,13.17,142.0,1253.0,60.0,40.5,Mixed
107,529,Local,10.8,Healthy,None,2.9,Badulla,14.31,161.2,1448.0,64.6,56.2,Grass
72,424,Ayrshire,19.9,Healthy,None,3.4,Monaragala,12.59,147.9,1155.0,59.0,37.0,Mixed
62,559,Ayrshire,9.7,Mild,Foot Rot,3.3,Polonnaruwa,14.95,165.9,1308.0,94.9,43.5,Grass
98,566,Ayrshire,9.7,Healthy,None,2.8,Kurunegala,15.12,172.6,1299.0,74.9,48.5,Grass
47,301,Local,13.2,Healthy,None,2.0,Polonnaruwa,8.85,100.2,817.0,46.4,27.4,Grass
107,599,Friesian,3.4,Healthy,None,2.7,Badulla,15.32,164.3,1526.0,73.9,51.0,Grass
106,535,Jersey,6.9,Mild,Mastitis,3.2,Anuradhapura,14.06,151.8,1204.0,72.1,44.6,Grass
90,411,Jersey,7.5,Mild,Lumpy Skin Disease,2.3,Badulla,11.03,128.5,1079.0,52.8,33.0,Grass
89,525,Ayrshire,19.3,Mild,Lumpy Skin Disease,2.9,Matale,15.05,175.6,1399.0,74.3,63.2,Mixed
81,296,Friesian,12.3,Mild,Mastitis,2.3,Puttalam,8.63,97.7,870.0,46.1,24.9,Grass
94,489,Ayrshire,9.3,Severe,Mastitis,3.1,Monaragala,13.16,149.8,1149.0,82.5,50.7,Grass
100,424,Friesian,6.2,Healthy,None,3.2,Matale,11.22,120.1,954.0,66.7,42.7,Grass
115,341,Friesian,9.0,Mild,Lumpy Skin Disease,2.9,Anuradhapura,9.43,109.3,897.0,46.2,31.3,Grass
87,521,Friesian,9.0,Healthy,None,3.9,Monaragala,13.93,155.1,1215.0,72.8,58.2,Grass
57,372,Friesian,11.9,Healthy,None,2.5,Monaragala,10.49,117.9,908.0,62.6,41.4,Grass
86,314,Jersey,16.1,Mild,Foot Rot,2.4,Matale,9.46,101.4,904.0,54.0,39.3,Mixed
114,352,Ayrshire,13.0,Healthy,None,2.0,Anuradhapura,10.1,114.9,934.0,63.6,34.7,Grass
46,282,Ayrshire,5.4,Healthy,None,3.1,Kurunegala,7.59,85.2,734.0,34.3,28.8,Grass
47,284,Friesian,15.7,Mild,Mastitis,3.1,Badulla,8.67,96.8,785.0,47.4,30.8,Mixed
91,545,Local,11.4,Healthy,None,2.8,Polonnaruwa,14.77,164.2,1376.0,69.3,55.0,Grass
72,460,Local,4.6,Mild,Mastitis,2.6,Polonnaruwa,11.96,136.0,1252.0,56.2,40.2,Grass
120,305,Jersey,9.7,Healthy,None,3.5,Monaragala,8.6,96.3,755.0,41.9,29.7,Grass
27,476,Friesian,13.7,Healthy,None,2.1,Monaragala,13.27,156.6,1350.0,85.4,54.4,Grass
48,335,Local,13.6,Healthy,None,2.8,Puttalam,9.73,104.9,905.0,44.9,32.4,Grass
51,482,Ayrshire,8.6,Healthy,None,3.3,Anuradhapura,12.91,151.6,1354.0,72.4,49.1,Grass
42,401,Jersey,17.2,Severe,Foot Rot,3.5,Puttalam,11.75,134.6,1013.0,60.2,33.7,Mixed
82,521,Jersey,7.8,Healthy,None,2.8,Monaragala,13.8,154.0,1408.0,64.0,40.0,Grass
48,456,Friesian,13.7,Severe,Foot Rot,3.5,Matale,12.77,138.2,1237.0,73.3,43.3,Grass
90,517,Ayrshire,9.6,Severe,Mastitis,2.9,Badulla,13.89,157.9,1268.0,69.9,41.4,Grass
56,484,Ayrshire,6.5,Severe,Mastitis,2.4,Matale,12.75,134.0,1242.0,71.7,37.5,Grass
45,509,Ayrshire,16.1,Healthy,None,3.7,Puttalam,14.34,157.1,1239.0,71.5,45.9,Mixed
87,404,Friesian,11.6,Mild,Foot Rot,3.5,Kurunegala,11.26,122.6,1106.0,71.8,33.6,Grass
31,533,Jersey,13.8,Healthy,None,2.7,Polonnaruwa,14.71,166.0,1461.0,72.2,54.2,Grass
82,500,Ayrshire,13.8,Severe,Mastitis,3.8,Monaragala,13.88,147.4,1297.0,70.1,38.9,Grass
34,576,Ayrshire,11.8,Healthy,None,3.8,Badulla,15.58,172.5,1544.0,87.6,46.1,Grass
37,529,Friesian,0.0,Mild,Foot Rot,3.4,Monaragala,13.23,148.4,1238.0,60.6,43.8,Grass
23,433,Jersey,12.4,Mild,Foot Rot,2.9,Matale,12.07,128.3,1214.0,75.7,40.7,Grass
113,329,Jersey,12.5,Mild,Mastitis,2.0,Puttalam,9.47,110.3,810.0,56.6,30.9,Grass
120,592,Jersey,10.9,Healthy,None,3.2,Anuradhapura,15.89,183.1,1385.0,99.2,63.6,Grass
43,485,Ayrshire,19.4,Healthy,None,2.7,Polonnaruwa,14.06,162.2,1259.0,63.9,43.2,Mixed
53,285,Ayrshire,8.0,Healthy,None,2.7,Kurunegala,7.92,88.4,781.0,49.0,25.8,Grass
32,383,Jersey,16.6,Healthy,None,3.2,Monaragala,11.24,132.4,964.0,64.0,36.9,Mixed
58,473,Friesian,9.4,Healthy,None,3.3,Monaragala,12.77,143.7,1151.0,75.6,35.8,Grass
86,593,Jersey,12.5,Healthy,None,3.5,Monaragala,16.08,170.3,1580.0,83.0,52.1,Grass
33,403,Ayrshire,8.5,Mild,Lumpy Skin Disease,2.8,Puttalam,10.93,120.5,994.0,52.0,37.0,Grass
104,339,Ayrshire,10.0,Healthy,None,2.3,Matale,9.47,109.7,863.0,46.6,36.9,Grass
101,414,Local,13.5,Healthy,None,3.1,Badulla,11.7,133.1,1114.0,71.2,48.5,Grass
39,587,Friesian,12.0,Healthy,None,2.9,Anuradhapura,15.88,180.4,1546.0,74.4,65.6,Grass
104,408,Jersey,4.9,Mild,Mastitis,2.8,Kurunegala,10.69,112.6,961.0,58.3,42.6,Grass
76,462,Jersey,10.3,Mild,Lumpy Skin Disease,2.6,Monaragala,12.58,140.2,1131.0,73.1,35.3,Grass
116,304,Local,11.2,Healthy,None,3.2,Monaragala,8.72,100.7,863.0,47.3,31.2,Grass
33,483,Jersey,21.4,Mild,Foot Rot,3.1,Puttalam,14.22,159.1,1368.0,73.0,54.9,Mixed
96,508,Local,13.3,Mild,Foot Rot,3.0,Monaragala,14.03,155.4,1237.0,87.3,48.1,Grass
49,576,Ayrshire,2.4,Mild,Foot Rot,3.0,Anuradhapura,14.64,162.9,1314.0,78.8,55.6,Grass
52,421,Ayrshire,12.3,Mild,Mastitis,4.2,Kurunegala,11.76,125.6,1054.0,69.2,44.6,Grass
71,458,Ayrshire,11.0,Healthy,None,3.2,Matale,12.55,138.6,1119.0,67.0,51.0,Grass
107,260,Local,11.8,Healthy,None,2.4,Monaragala,7.68,90.1,699.0,40.6,31.1,Grass
71,525,Jersey,17.7,Healthy,None,3.4,Monaragala,14.89,161.6,1410.0,78.6,55.6,Mixed
69,334,Local,16.0,Severe,Foot Rot,2.5,Kurunegala,9.95,111.4,1026.0,56.6,37.1,Mixed
100,469,Jersey,19.0,Mild,Mastitis,2.3,Monaragala,13.63,144.0,1262.0,67.1,44.4,Mixed
66,392,Local,14.9,Healthy,None,4.1,Polonnaruwa,11.29,119.7,964.0,63.0,47.4,Grass
46,582,Friesian,7.0,Mild,Foot Rot,2.7,Matale,15.25,160.9,1306.0,76.2,60.6,Grass
37,372,Jersey,12.5,Healthy,None,2.7,Polonnaruwa,10.55,112.3,1097.0,57.3,33.3,Grass
39,560,Friesian,4.2,Mild,Mastitis,3.0,Badulla,14.42,169.5,1257.0,65.6,46.7,Grass
66,453,Jersey,6.7,Healthy,None,3.2,Monaragala,12.0,136.8,1171.0,56.4,46.6,Grass
105,557,Friesian,7.4,Mild,Foot Rot,3.8,Matale,14.67,169.0,1349.0,78.6,48.7,Grass
100,424,Friesian,8.1,Mild,Lumpy Skin Disease,2.8,Badulla,11.41,121.4,1189.0,65.8,45.2,Grass
37,472,Jersey,16.1,Mild,Foot Rot,2.4,Puttalam,13.41,145.5,1357.0,74.8,46.6,Mixed
111,553,Ayrshire,13.1,Healthy,None,3.7,Monaragala,15.14,163.8,1570.0,76.6,51.9,Grass
77,541,Local,4.0,Healthy,None,3.1,Polonnaruwa,13.93,155.2,1275.0,76.3,45.9,Grass
61,393,Ayrshire,13.3,Healthy,None,3.4,Matale,11.16,124.7,991.0,55.6,37.6,Grass
115,373,Local,5.8,Healthy,None,2.3,Badulla,9.91,110.4,1000.0,46.4,30.8,Grass
49,406,Ayrshire,14.6,Healthy,None,3.1,Badulla,11.61,129.9,1086.0,69.6,37.9,Grass
76,388,Ayrshire,13.3,Healthy,None,3.2,Monaragala,11.03,117.5,980.0,52.3,39.2,Grass
106,344,Jersey,8.6,Healthy,None,3.1,Polonnaruwa,9.46,105.3,941.0,61.0,33.4,Grass
30,349,Ayrshire,13.5,Healthy,None,2.6,Kurunegala,10.07,108.1,859.0,56.1,32.1,Grass
88,399,Jersey,21.3,Healthy,None,3.2,Puttalam,12.11,139.0,1054.0,54.8,38.7,Mixed
74,424,Jersey,6.0,Severe,Lumpy Skin Disease,3.3,Kurunegala,11.2,131.3,1059.0,68.8,37.6,Grass
91,572,Friesian,7.1,Healthy,None,3.4,Matale,15.01,173.4,1561.0,70.1,47.2,Grass
115,463,Jersey,17.8,Mild,Lumpy Skin Disease,2.6,Polonnaruwa,13.36,148.1,1254.0,83.1,55.9,Mixed
90,567,Friesian,16.8,Healthy,None,3.2,Badulla,15.86,181.8,1649.0,78.0,49.1,Mixed
28,330,Jersey,16.1,Healthy,None,3.9,Polonnaruwa,9.86,104.5,839.0,53.3,35.8,Mixed
22,368,Ayrshire,10.8,Mild,Foot Rot,2.6,Monaragala,10.28,119.4,888.0,51.1,32.6,Grass
98,551,Jersey,7.6,Healthy,None,2.6,Kurunegala,14.54,163.0,1424.0,91.8,57.5,Grass
25,334,Ayrshire,11.6,Healthy,None,3.2,Polonnaruwa,9.51,110.0,984.0,51.1,32.9,Grass
107,456,Ayrshire,13.4,Healthy,None,3.4,Polonnaruwa,12.74,141.9,1103.0,58.3,43.4,Grass
95,378,Friesian,12.1,Healthy,None,3.7,Monaragala,10.66,125.3,1084.0,60.2,44.0,Grass
104,387,Friesian,10.7,Mild,Mastitis,4.4,Matale,10.75,119.5,1054.0,68.1,32.8,Grass
73,575,Local,15.1,Severe,Lumpy Skin Disease,2.6,Polonnaruwa,15.88,173.9,1456.0,92.7,63.5,Mixed
70,503,Ayrshire,6.6,Mild,Lumpy Skin Disease,3.2,Polonnaruwa,13.24,153.0,1271.0,71.6,42.9,Grass
32,456,Friesian,10.9,Mild,Foot Rot,3.4,Puttalam,12.49,138.6,1075.0,69.2,45.9,Grass
98,476,Friesian,14.4,Healthy,None,3.0,Kurunegala,13.34,149.6,1381.0,71.7,50.4,Grass
21,572,Jersey,7.8,Mild,Lumpy Skin Disease,2.2,Kurunegala,15.08,169.1,1448.0,70.7,63.2,Grass
77,310,Jersey,9.8,Healthy,None,3.4,Puttalam,8.73,99.8,831.0,44.1,34.6,Grass
49,483,Jersey,13.1,Healthy,None,2.4,Polonnaruwa,13.39,156.6,1274.0,83.8,53.7,Grass
116,462,Ayrshire,12.9,Severe,Foot Rot,3.2,Matale,12.84,139.3,1092.0,76.4,51.0,Grass
102,500,Jersey,7.6,Healthy,None,3.1,Polonnaruwa,13.26,147.6,1215.0,79.9,44.1,Grass
42,372,Local,12.3,Healthy,None,2.4,Monaragala,10.53,121.2,904.0,63.1,39.9,Grass
66,447,Jersey,13.8,Healthy,None,3.3,Monaragala,12.56,132.5,1194.0,71.3,50.5,Grass
74,301,Local,17.4,Healthy,None,3.5,Monaragala,9.27,99.1,949.0,59.7,26.9,Mixed
51,423,Local,5.1,Healthy,None,2.5,Polonnaruwa,11.09,128.7,1132.0,69.0,37.0,Grass
98,499,Friesian,14.6,Healthy,None,3.3,Kurunegala,13.94,150.6,1376.0,70.7,43.5,Grass
73,300,Friesian,14.6,Healthy,None,4.5,Polonnaruwa,8.96,102.2,923.0,41.1,35.1,Grass
63,441,Local,14.9,Healthy,None,3.6,Kurunegala,12.52,140.1,1206.0,76.2,38.0,Grass
96,445,Jersey,16.8,Healthy,None,3.3,Badulla,12.8,144.1,1147.0,73.9,44.1,Mixed
19,488,Ayrshire,10.4,Mild,Mastitis,3.4,Puttalam,13.24,140.3,1376.0,85.7,42.6,Grass
106,378,Local,8.1,Mild,Mastitis,2.9,Polonnaruwa,10.26,121.1,1047.0,48.4,34.2,Grass
91,401,Ayrshire,9.6,Healthy,None,3.0,Monaragala,10.98,127.1,1020.0,49.6,44.0,Grass
113,275,Local,23.6,Mild,Lumpy Skin Disease,2.1,Anuradhapura,9.23,106.2,827.0,56.3,28.7,Concentrate
97,378,Jersey,15.4,Healthy,None,2.2,Matale,10.99,128.3,1076.0,56.2,37.6,Mixed
64,317,Friesian,9.6,Severe,Lumpy Skin Disease,3.5,Polonnaruwa,8.89,102.0,787.0,42.4,31.6,Grass
85,506,Ayrshire,12.3,Mild,Lumpy Skin Disease,2.5,Monaragala,13.88,162.2,1442.0,89.3,44.6,Grass
61,308,Local,8.4,Severe,Mastitis,3.3,Puttalam,8.54,98.0,764.0,50.0,32.0,Grass
120,535,Ayrshire,8.3,Healthy,None,3.1,Badulla,14.21,156.5,1283.0,67.5,47.1,Grass
104,384,Local,12.2,Mild,Lumpy Skin Disease,2.7,Matale,10.82,115.1,970.0,49.2,43.7,Grass
59,562,Jersey,22.7,Healthy,None,3.3,Kurunegala,16.32,184.8,1539.0,96.3,60.5,Concentrate
35,273,Friesian,1.9,Healthy,None,3.1,Puttalam,7.02,78.2,610.0,44.0,21.0,Grass
65,593,Local,8.7,Healthy,None,3.4,Matale,15.7,179.7,1613.0,91.2,62.3,Grass
70,393,Friesian,8.0,Mild,Mastitis,2.9,Badulla,10.63,117.7,1106.0,66.0,31.2,Grass
65,528,Ayrshire,14.5,Healthy,None,3.4,Kurunegala,14.65,159.1,1529.0,93.7,57.9,Grass
102,358,Friesian,6.0,Healthy,None,2.8,Monaragala,9.55,104.4,1001.0,58.0,29.5,Grass
115,533,Jersey,9.6,Healthy,None,2.7,Matale,14.29,165.1,1281.0,86.4,55.8,Grass
18,391,Jersey,20.8,Severe,Foot Rot,3.2,Kurunegala,11.86,128.4,1049.0,69.1,33.6,Mixed
63,371,Ayrshire,5.7,Healthy,None,3.5,Kurunegala,9.85,106.8,862.0,52.6,29.1,Grass
78,479,Ayrshire,22.6,Healthy,None,3.5,Monaragala,14.24,151.5,1354.0,91.0,40.7,Concentrate
102,516,Ayrshire,4.4,Healthy,None,2.8,Badulla,13.34,156.8,1150.0,72.8,44.9,Grass
31,501,Local,18.3,Healthy,None,2.6,Badulla,14.36,152.3,1395.0,66.5,45.7,Mixed
92,530,Ayrshire,14.2,Healthy,None,3.4,Monaragala,14.67,165.4,1333.0,80.8,49.9,Grass
107,308,Jersey,7.4,Healthy,None,3.0,Badulla,8.44,98.4,787.0,51.9,28.3,Grass
30,410,Local,0.0,Healthy,None,2.5,Kurunegala,10.25,111.0,1067.0,60.2,35.5,Grass
28,297,Local,10.7,Healthy,None,2.4,Matale,8.5,97.4,861.0,47.7,30.8,Grass
89,418,Friesian,20.2,Healthy,None,2.3,Kurunegala,12.47,145.1,1295.0,66.7,50.9,Mixed
54,557,Ayrshire,9.8,Healthy,None,3.1,Kurunegala,14.91,167.8,1331.0,86.7,46.4,Grass
62,534,Ayrshire,19.2,Healthy,None,2.3,Monaragala,15.27,165.9,1367.0,81.8,54.7,Mixed
97,564,Friesian,17.8,Healthy,None,3.0,Monaragala,15.88,180.3,1570.0,72.4,50.5,Mixed
57,423,Ayrshire,7.1,Healthy,None,3.2,Badulla,11.29,131.3,1088.0,59.9,33.9,Grass
21,296,Jersey,13.0,Healthy,None,2.7,Matale,8.7,96.5,767.0,44.6,28.3,Grass
94,293,Friesian,12.3,Healthy,None,2.8,Puttalam,8.55,98.2,735.0,39.9,29.2,Grass
80,560,Local,12.6,Healthy,None,3.3,Badulla,15.26,164.5,1453.0,79.2,45.1,Grass
104,553,Local,19.9,Healthy,None,2.4,Anuradhapura,15.82,172.5,1414.0,102.3,45.5,Mixed
56,358,Jersey,22.7,Mild,Lumpy Skin Disease,2.0,Puttalam,11.22,122.6,955.0,67.3,34.2,Concentrate
86,367,Ayrshire,11.2,Healthy,None,3.3,Monaragala,10.29,119.6,883.0,46.7,42.1,Grass
58,544,Local,13.4,Healthy,None,2.7,Polonnaruwa,14.94,170.6,1395.0,70.7,42.3,Grass
39,566,Local,11.0,Mild,Lumpy Skin Disease,2.8,Matale,15.25,161.9,1554.0,76.0,55.3,Grass
28,452,Ayrshire,9.1,Mild,Mastitis,3.4,Matale,12.21,133.5,1079.0,67.4,36.1,Grass
42,428,Ayrshire,13.8,Mild,Foot Rot,2.7,Matale,12.08,139.6,1084.0,57.9,37.2,Grass
37,585,Friesian,16.5,Healthy,None,3.2,Puttalam,16.27,187.2,1544.0,97.8,62.9,Mixed
105,539,Ayrshire,16.1,Mild,Foot Rot,3.3,Monaragala,15.09,164.6,1415.0,82.1,55.6,Mixed
53,552,Friesian,7.9,Healthy,None,2.7,Polonnaruwa,14.59,154.6,1375.0,66.8,48.4,Grass
27,580,Friesian,15.7,Healthy,None,3.3,Kurunegala,16.07,179.3,1515.0,90.1,62.8,Mixed
75,542,Jersey,11.9,Healthy,None,3.1,Monaragala,14.74,163.9,1297.0,68.2,43.4,Grass
61,293,Jersey,18.4,Healthy,None,2.7,Polonnaruwa,9.16,104.6,960.0,50.8,33.5,Mixed
65,394,Local,14.7,Healthy,None,2.9,Kurunegala,11.32,123.8,1098.0,68.8,42.0,Grass
60,298,Local,10.9,Healthy,None,3.5,Polonnaruwa,8.54,97.7,838.0,53.9,34.4,Grass
28,548,Jersey,16.1,Severe,Lumpy Skin Disease,3.4,Kurunegala,15.31,180.0,1515.0,80.9,55.6,Mixed
57,536,Local,18.5,Healthy,None,3.0,Badulla,15.25,166.6,1335.0,90.1,62.9,Mixed
85,297,Local,15.4,Healthy,None,2.8,Monaragala,8.96,94.3,817.0,57.4,29.4,Mixed
80,348,Jersey,13.6,Severe,Mastitis,2.9,Monaragala,10.06,106.6,1025.0,47.3,39.0,Grass
112,519,Friesian,12.5,Mild,Foot Rot,3.3,Monaragala,14.23,151.8,1317.0,68.7,56.4,Grass
97,334,Local,7.9,Healthy,None,4.0,Monaragala,9.14,100.3,908.0,58.9,33.4,Grass
113,479,Jersey,7.0,Healthy,None,2.4,Polonnaruwa,12.68,138.2,1283.0,69.0,50.3,Grass
104,542,Local,17.8,Healthy,None,3.4,Monaragala,15.33,166.6,1420.0,85.2,63.7,Mixed
43,559,Jersey,15.1,Mild,Mastitis,3.3,Monaragala,15.49,175.6,1587.0,86.9,45.6,Mixed
84,313,Ayrshire,11.9,Healthy,None,2.6,Kurunegala,9.02,96.6,848.0,49.9,35.8,Grass
46,480,Ayrshire,12.4,Severe,Lumpy Skin Disease,2.7,Polonnaruwa,13.24,139.9,1258.0,65.8,55.5,Grass
46,264,Ayrshire,16.9,Severe,Foot Rot,2.9,Monaragala,8.29,94.0,836.0,39.6,26.5,Mixed
78,321,Local,7.9,Healthy,None,2.8,Matale,8.82,92.7,764.0,44.2,35.0,Grass
111,561,Local,14.1,Healthy,None,2.7,Monaragala,15.44,167.9,1405.0,71.0,52.3,Grass
97,484,Friesian,7.9,Healthy,None,3.1,Anuradhapura,12.89,150.5,1249.0,58.4,45.4,Grass
109,323,Ayrshire,13.2,Healthy,None,2.7,Kurunegala,9.4,106.2,844.0,50.1,35.1,Grass
85,434,Friesian,9.6,Severe,Foot Rot,3.1,Puttalam,11.81,131.8,1237.0,66.2,39.5,Grass
23,575,Local,4.8,Severe,Lumpy Skin Disease,2.3,Badulla,14.86,170.5,1369.0,68.9,46.6,Grass
98,303,Ayrshire,8.4,Healthy,None,2.9,Badulla,8.42,92.3,773.0,48.7,33.4,Grass
77,495,Jersey,13.6,Mild,Mastitis,3.7,Monaragala,13.73,156.9,1426.0,62.8,42.3,Grass
43,271,Ayrshire,16.3,Severe,Foot Rot,2.9,Badulla,8.41,92.7,852.0,45.8,24.0,Mixed
42,396,Ayrshire,11.9,Mild,Mastitis,2.5,Puttalam,11.09,128.9,1016.0,52.7,36.8,Grass
113,475,Local,11.9,Healthy,None,2.9,Polonnaruwa,13.06,140.3,1291.0,68.4,51.1,Grass
120,292,Local,13.6,Healthy,None,2.6,Kurunegala,8.66,97.7,879.0,48.4,28.1,Grass
59,588,Ayrshire,14.6,Healthy,None,3.8,Kurunegala,16.16,182.3,1511.0,95.0,53.2,Grass
111,430,Local,11.5,Healthy,None,3.2,Polonnaruwa,11.9,140.1,1237.0,55.3,43.9,Grass
83,597,Jersey,15.5,Severe,Mastitis,2.8,Anuradhapura,16.48,191.2,1624.0,88.6,49.1,Mixed
117,580,Ayrshire,13.1,Healthy,None,3.0,Polonnaruwa,15.81,185.5,1354.0,76.0,54.2,Grass
65,477,Friesian,12.5,Healthy,None,2.6,Kurunegala,13.18,147.5,1225.0,76.4,41.5,Grass
21,345,Local,12.1,Healthy,None,3.2,Anuradhapura,9.84,115.0,860.0,59.5,37.3,Grass
96,396,Local,19.3,Healthy,None,3.5,Kurunegala,11.83,126.3,1023.0,57.3,44.9,Mixed
105,413,Ayrshire,22.8,Mild,Foot Rot,2.6,Badulla,12.61,141.3,1297.0,78.2,47.9,Concentrate
99,339,Ayrshire,16.4,Healthy,None,3.1,Kurunegala,10.12,107.9,901.0,48.4,39.5,Mixed
64,533,Ayrshire,22.9,Healthy,None,2.6,Puttalam,15.62,184.0,1368.0,97.9,45.2,Concentrate
109,495,Local,7.8,Mild,Foot Rot,2.7,Badulla,13.15,139.3,1373.0,76.1,45.1,Grass
84,426,Jersey,1.4,Mild,Foot Rot,2.7,Monaragala,10.79,122.3,956.0,69.4,36.7,Grass
25,313,Jersey,8.2,Healthy,None,3.1,Matale,8.64,92.5,896.0,42.8,35.7,Grass
54,290,Ayrshire,13.7,Healthy,None,3.9,Kurunegala,8.62,101.2,780.0,49.6,31.6,Grass
82,578,Jersey,16.8,Healthy,None,2.7,Polonnaruwa,16.13,181.5,1426.0,92.7,65.5,Mixed
90,271,Friesian,7.5,Healthy,None,3.2,Matale,7.53,88.4,756.0,37.9,23.3,Grass
71,566,Friesian,5.4,Healthy,None,3.9,Monaragala,14.69,166.2,1334.0,94.2,51.1,Grass
105,457,Ayrshire,17.9,Healthy,None,2.8,Polonnaruwa,13.21,150.5,1165.0,70.4,45.6,Mixed
95,323,Ayrshire,3.4,Mild,Lumpy Skin Disease,3.7,Polonnaruwa,8.42,96.4,861.0,54.3,25.1,Grass
83,537,Friesian,11.4,Healthy,None,3.6,Polonnaruwa,14.57,161.8,1316.0,72.8,42.8,Grass
67,565,Local,4.0,Healthy,None,2.7,Polonnaruwa,14.53,168.9,1281.0,74.9,52.4,Grass
42,331,Local,12.0,Severe,Lumpy Skin Disease,3.0,Matale,9.48,105.7,864.0,43.1,39.1,Grass
76,373,Jersey,9.7,Healthy,None,3.3,Badulla,10.3,108.8,933.0,58.7,41.0,Grass
